Seq,ra,dec,z,gmag,rmag,FUVmag,NUVmag,Morph,Dist,g-r,BMag,logM*,M1:M2,SFR,logMHI,Sat,Ngh,DR12,Sloan,SimbadName,NED
135,224.4108,26.6683,0.0042,15.41,15.15,16.88,17.21,S,17.79,0.26,-15.53,8.29,,-1.48,9.4,1,9,DR12,Sloan,2MASX J14573938+2639535,NED
136,226.3632,23.6883,0.0162,15.35,15.09,17.45,16.81,A,37.8,0.26,-17.23,8.97,33,-1.05,,1,5,DR12,Sloan,UGC  9698,NED
137,226.7837,-2.6627,0.0068,16.21,15.96,17.33,17.27,I,28.86,0.25,-15.78,8.37,,-1.24,,0,9,DR12,Sloan,LEDA 1085904,NED
138,226.9514,55.1857,0.0111,13.99,13.63,21.7,19.67,Sh,47.27,0.36,-19.04,9.85,,-2.56,,0,1,DR12,Sloan,UGC  9737,NED
139,227.3164,19.8486,0.0158,16.99,16.58,18.42,17.69,I,67.53,0.41,-16.8,9.04,,-0.94,9.14,0,2,DR12,Sloan,ECO 2197,NED
140,229.3553,42.9559,0.0178,15.6,15.23,17.15,16.65,IM,76.19,0.37,-18.47,9.64,9,-0.32,9.05,1,2,DR12,Sloan,LEDA   54571,NED
141,229.6666,22.0863,0.0158,15.5,15.11,17.09,17.47,T,67.53,0.39,-18.3,9.61,3,-0.4,9.19,0,9,DR12,Sloan,LEDA   54647,NED
142,231.8578,11.2842,0.0129,16.14,15.75,,,TS,55.01,0.39,-17.21,9.17,5,,,0,1,DR12,Sloan,LEDA 1391373,NED
143,231.9358,12.9708,0.0128,18.63,18.4,17.74,18.54,I,54.58,0.23,-14.76,7.93,2,-0.85,9.18,0,9,DR12,Sloan,AGC 257911,NED
144,232.3709,26.0075,0.0067,14.97,14.86,,,I,28.44,0.11,-17.04,8.65,,,9.24,0,2,DR12,Sloan,2MFGC 12497,NED
145,233.7504,46.8146,0.0188,15.58,15.39,,16.54,T,80.53,0.19,-18.66,9.43,,-0.21,9.64,0,1,DR12,Sloan,ZW    I 116,NED
146,233.9737,38.6777,0.0186,14.14,13.95,15.96,15.53,I,79.66,0.19,-20.08,9.99,8,0.19,,0,3,DR12,Sloan,UGC  9922,NED
147,234.0806,30.6811,0.0058,14.84,14.59,,,I,28.5,0.25,-17.12,8.91,1,,,0,2,DR12,Sloan,LEDA   55576,NED
148,237.0172,4.2423,0.0131,16.73,16.47,,,T,55.87,0.26,-16.7,8.76,,,8.51,0,4,DR12,Sloan,AGC 258103,NED
149,237.7562,10.0311,0.0146,15.88,15.62,16.28,17.02,T,62.34,0.26,-17.78,9.19,,-0.15,8.38,0,,DR12,Sloan,Z  78-83,NED
150,238.6718,16.6173,0.0079,14.57,14.14,,,I,35.9,0.43,-17.84,9.49,,,,0,2,DR12,Sloan,UGC 10086,NED
