object_id,ra,dec,phot_z,stellar_mass,P_merge,vis_class,tidal_feature_vis,shell,stream,tail,plume,double_nucleus,vis_class_flag
75954688448557698,241.25263237068842,55.61465256979651,0.28486907482147217,23253999616.0,0.8537279367446899,1,0,0,0,0,0,0,0
37489781684327906,35.243900254748695,-5.643702517088276,0.25347185134887695,9147400192.0,0.7252348065376282,1,0,0,0,0,0,0,0
75339528872692121,241.40866468930767,54.85608149874198,0.13465771079063416,21647998976.0,0.5913670063018799,1,1,0,1,0,0,1,0
75338837382959199,243.05431265097016,54.68837796389772,0.18592941761016846,105899999232.0,0.6874803900718689,1,0,0,0,0,0,0,0
37485405112659403,33.87252394710602,-4.681934020497091,0.3709303140640259,161420001280.0,0.9800428152084351,1,1,0,0,0,0,1,0
75959365667950701,243.1945858611393,55.79918673774943,0.10728559643030167,6704099840.0,0.5289455652236938,1,0,0,0,0,0,0,0
38554108940023284,35.414144036318845,-4.067551548532271,0.1092703640460968,59515998208.0,0.9467239379882812,1,0,0,0,0,0,0,0
43153937309666842,149.17123057967848,2.869884245263099,0.22861714661121368,11943000064.0,0.7585651278495789,1,1,0,0,0,1,0,1
75955087880515637,240.1639610655838,55.100531496634545,0.3666868507862091,23822000128.0,0.9716047048568726,1,0,0,0,0,0,0,1
75959490222009110,242.949467040226,55.30664573464863,0.17749330401420593,81006002176.0,0.7126906514167786,1,1,0,0,0,1,1,0
38554117529952980,35.415265665415625,-3.710850070320429,0.1395868957042694,127440003072.0,0.9550842046737671,1,0,0,0,0,0,0,0
37489803159167166,35.272200755866045,-4.6878516866429,0.29016610980033875,10618999808.0,0.6843180656433105,1,1,0,0,0,1,0,0
38558094669669847,37.32515781227558,-4.083151160097053,0.23961855471134186,8293899776.0,0.5131097435951233,1,1,0,0,0,1,0,0
41623941109807494,352.2525178215084,-1.3375715774247694,0.1944395899772644,24128999424.0,0.5861296057701111,1,0,0,0,0,0,0,0
38553980091000386,35.43725882781463,-3.673152203248683,0.1630750596523285,7012700160.0,0.861691415309906,1,0,0,0,0,0,0,0
75959245408856763,243.48056788991062,56.47044360507384,0.25991055369377136,86883999744.0,0.7359887361526489,1,0,0,0,0,0,0,0
43163287453460507,151.4067544508015,2.953176177061083,0.21393246948719025,96951001088.0,0.67803955078125,1,1,0,0,0,1,0,0
75954559599546703,241.4101418255733,56.01537465478469,0.22685043513774872,82070003712.0,0.6024556756019592,1,1,0,0,0,1,0,0
