Name,Votes,No,Streams,Tails,Plumes,Shells,Disturbed,Spiral,Curiosities,Majority feature,Score,STRRINGS,RA,DEC
NGC2273A,"{Spiral: 4, No: 2, Streams: 1, Disturbed: 1}",2,1,0,0,0,1,4,0,Spiral,0.5,,100.02963971853647,60.08067650302106
NGC2273B,{No: 2},2,0,0,0,0,0,0,0,No,1.0,,101.63141940040485,60.34050384965637
NGC2274_GROUP,"{Tails: 2, No: 5, Disturbed: 1}",5,0,2,0,0,1,0,0,No,0.62,,101.82235954708207,33.567095527647936
NGC2289_GROUP,"{Plumes: 1, Streams: 1, No: 4, Disturbed: 1, Shells: 1}",4,1,0,1,1,1,0,0,Streams,0.12,,102.7232573856943,33.47879362617593
NGC2290,{No: 2},2,0,0,0,0,0,0,0,No,1.0,,102.73720437916829,33.43758335225434
NGC2291,"{Tails: 2, No: 3, Streams: 1, Shells: 2}",3,1,2,0,2,0,0,0,Tails,0.25,,102.74423882353189,33.525184561331024
NGC2294,{No: 2},2,0,0,0,0,0,0,0,No,1.0,,102.79706045861977,33.52717933108978
NGC2303,{No: 2},2,0,0,0,0,0,0,0,No,1.0,,104.07297337434727,45.492720549162684
NGC2308,"{No: 3, Spiral: 4, Tails: 1}",3,0,1,0,0,0,4,0,Spiral,0.5,,104.65671759595432,45.21054255555539
NGC2314,"{Disturbed: 2, No: 5, Shells: 1}",5,0,0,0,1,2,0,0,No,0.62,,107.63563965833343,75.3266993158775
NGC2320,{No: 2},2,0,0,0,0,0,0,0,No,1.0,,106.42501109117758,50.58097992951773
NGC2326,"{Streams: 3, Tails: 2, Spiral: 3}",0,3,2,0,0,0,3,0,Streams,0.38,,107.04584192422276,50.68192540408547
NGC2329_GROUP,{No: 2},2,0,0,0,0,0,0,0,No,1.0,,107.28337108559187,48.61547940873618
NGC2332_GROUP,{No: 2},2,0,0,0,0,0,0,0,No,1.0,,107.39249951177867,50.18229419039974
NGC2333,"{Shells: 2, Tails: 1, No: 2, Plumes: 1, Streams: 2}",2,2,1,1,2,0,0,0,Streams,0.25,,107.08889031966642,35.17002566081233
NGC2336_GROUP,"{No: 1, Spiral: 7}",1,0,0,0,0,0,7,0,Spiral,0.88,,111.76604986232539,80.17833231311668
NGC2337,"{Shells: 2, Streams: 1, No: 2, Disturbed: 3}",2,1,0,0,2,3,0,0,Disturbed,0.38,,107.55676918908964,44.4572309484661
NGC2340_GROUP,"{Shells: 3, No: 4, Streams: 1}",4,1,0,0,3,0,0,0,Shells,0.38,,107.79508665118017,50.17468212869736
NGC2344,"{Spiral: 4, No: 3, Streams: 1}",3,1,0,0,0,0,4,0,Spiral,0.5,,108.11943398458831,47.16673140819733
