Name,Votes,No,Streams,Tails,Plumes,Shells,Disturbed,Spiral,Curiosities,Majority feature,Score,STRRINGS,RA,DEC
UGC05052,"{Disturbed: 2, Tails: 2, No: 2, Streams: 2}",2,2,2,0,0,2,0,0,Streams,0.25,,142.80828606725828,73.81049143477931
UGC05342,"{Spiral: 1, No: 3, Disturbed: 1, Streams: 2, Tails: 1, Shells: 1}",3,2,1,0,1,1,1,0,Streams,0.22,,149.17743693958607,15.637756725621838
UGC05489,"{No: 2, Streams: 4, Spiral: 1, Tails: 1}",2,4,1,0,0,0,1,0,Streams,0.5,,152.66637862170526,20.070186396437023
UGC05494,"{Shells: 1, No: 4, Disturbed: 1, Streams: 1, Plumes: 1}",4,1,0,1,1,1,0,0,Streams,0.12,,153.27688198066264,67.41100822775995
UGC05551_GROUP,"{Plumes: 1, Streams: 2, No: 3, Tails: 2}",3,2,2,1,0,0,0,0,Streams,0.25,,154.2988117117584,4.331062055039713
UGC05689,"{Streams: 6, No: 2, Tails: 1}",2,6,1,0,0,0,0,0,Streams,0.67,,157.69175304657068,73.88509156186036
UGC05723_GROUP,"{Streams: 5, Tails: 3}",0,5,3,0,0,0,0,0,Streams,0.62,,158.05320830567027,-1.4934117912861233
UGC05745,"{No: 4, Streams: 1, Plumes: 1, Spiral: 1, Tails: 1}",4,1,1,1,0,0,1,0,Streams,0.12,,158.6866160176786,-1.9689977656263018
UGC05814,"{Streams: 6, No: 1, Shells: 1}",1,6,0,0,1,0,0,0,Streams,0.75,,160.65855639260445,77.49467866104425
UGC05818_GROUP,"{Streams: 5, Spiral: 2, No: 1}",1,5,0,0,0,0,2,0,Streams,0.63,,160.31538786074915,6.36142979951656
UGC06023,"{Shells: 1, Streams: 4, No: 2, Plumes: 1, Tails: 1}",2,4,1,1,1,0,0,0,Streams,0.45,,163.5871440884889,27.239636217606073
UGC06090,"{No: 2, Streams: 3, Spiral: 2, Tails: 1}",2,3,1,0,0,0,2,0,Streams,0.38,,165.46442021375623,75.2013264540051
UGC06104,"{Curiosities: 1, Streams: 4, No: 2, Tails: 2}",2,4,2,0,0,0,0,1,Streams,0.45,,165.4623542643794,16.60706063088518
UGC06362_GROUP,"{Streams: 7, No: 2}",2,7,0,0,0,0,0,0,Streams,0.78,,170.2332158504965,19.632024382979218
UGC06939,"{No: 3, Streams: 2, Disturbed: 1, Tails: 2}",3,2,2,0,0,1,0,0,Streams,0.25,,179.42872402668937,57.56580275375972
UGC07040_GROUP,"{Tails: 1, No: 4, Spiral: 1, Streams: 2}",4,2,1,0,0,0,1,0,Streams,0.25,,180.97377963231156,25.43397003723856
UGC07110,"{Streams: 5, No: 4}",4,5,0,0,0,0,0,0,Streams,0.56,,181.85876468935928,65.41238860506431
UGC07596,"{Disturbed: 1, No: 4, Plumes: 1, Streams: 1, Curiosities: 1}",4,1,0,1,0,1,0,1,Streams,0.12,,187.14094261038855,8.639929441366917
UGC08040,"{No: 4, Streams: 2, Curiosities: 1, Plumes: 1}",4,2,0,1,0,0,0,1,Streams,0.25,,193.68118015192076,58.77646673130219
UGC08101,"{Curiosities: 1, No: 4, Streams: 3}",4,3,0,0,0,0,0,1,Streams,0.38,,194.23304148895207,84.10244021120688
UGC08114,"{Tails: 2, No: 3, Streams: 2, Disturbed: 1}",3,2,2,0,0,1,0,0,Streams,0.25,,195.10415877589236,13.67044814026541
UGC08223,"{Spiral: 2, Tails: 2, Streams: 3, No: 1}",1,3,2,0,0,0,2,0,Streams,0.38,,197.18026796597596,-2.135002243476337
UGC08234_GROUP,"{Disturbed: 2, Streams: 3, No: 3}",3,3,0,0,0,2,0,0,Streams,0.37,,197.1937680196174,62.27167570855155
UGC08248,"{Curiosities: 1, No: 4, Disturbed: 1, Streams: 2}",4,2,0,0,0,1,0,1,Streams,0.25,,197.61431476852687,18.438254065333947
UGC08440,"{Streams: 6, Disturbed: 1, Tails: 1}",0,6,1,0,0,1,0,0,Streams,0.75,,201.4014845051883,36.381209132973744
UGC08630,"{Streams: 4, No: 3, Disturbed: 1}",3,4,0,0,0,1,0,0,Streams,0.5,,204.60471975642793,33.11760947076156
UGC08717,"{Streams: 6, No: 2, Tails: 1}",2,6,1,0,0,0,0,0,Streams,0.67,*,206.84248859561703,30.333506105915923
UGC08980,"{Spiral: 2, No: 2, Streams: 4}",2,4,0,0,0,0,2,0,Streams,0.5,,210.90313393348694,39.052787761799244
UGC09037,"{No: 1, Tails: 1, Streams: 3, Spiral: 3}",1,3,1,0,0,0,3,0,Streams,0.38,,212.12150902210783,7.057931410479833
UGC09081,"{Streams: 5, Shells: 1, Tails: 2}",0,5,2,0,1,0,0,0,Streams,0.62,,212.91133486701656,39.64189677698041
UGC09090,"{No: 4, Streams: 2, Shells: 1, Tails: 1}",4,2,1,0,1,0,0,0,Streams,0.25,,213.10177290770176,18.411755545192822
UGC09182,"{Streams: 4, No: 3, Tails: 1}",3,4,1,0,0,0,0,0,Streams,0.5,,215.19230891232638,21.93560301794943
UGC09203,"{Spiral: 3, Tails: 2, Streams: 3}",0,3,2,0,0,0,3,0,Streams,0.38,,215.46912601905404,39.979038247213786
UGC09239,"{Streams: 5, No: 2, Tails: 2}",2,5,2,0,0,0,0,0,Streams,0.56,*,216.3051360217943,13.744584291490533
UGC09316,"{Shells: 1, Streams: 4, No: 1, Spiral: 1, Tails: 1}",1,4,1,0,1,0,1,0,Streams,0.5,,217.57537782117663,21.746780970415593
UGC09386,"{Streams: 6, Spiral: 1, Tails: 1}",0,6,1,0,0,0,1,0,Streams,0.75,,218.7199005529245,40.74799929453291
UGC09519,"{No: 4, Streams: 3, Disturbed: 1}",4,3,0,0,0,1,0,0,Streams,0.38,,221.5879421428508,34.370581410517325
UGC09559,"{Spiral: 1, No: 4, Plumes: 1, Tails: 1, Streams: 1}",4,1,1,1,0,0,1,0,Streams,0.12,,222.66424419318457,42.740963511015096
UGC09594,"{No: 1, Tails: 2, Streams: 2, Spiral: 1, Disturbed: 1, Plumes: 1}",1,2,2,1,0,1,1,0,Streams,0.26,,223.68636767996068,24.096126748791594
UGC09763,{Streams: 8},0,8,0,0,0,0,0,0,Streams,1.0,,228.0092129817037,21.298258190603814
UGC09874,"{Shells: 4, Streams: 4, No: 1}",1,4,0,0,4,0,0,0,Streams,0.45,,231.81242690788065,77.15686497115709
UGC09927,"{No: 4, Streams: 1, Plumes: 1, Spiral: 1, Curiosities: 1}",4,1,0,1,0,0,1,1,Streams,0.12,,234.11572834167222,22.5004765331024
UGC10127,"{Disturbed: 2, Streams: 2, Tails: 1, Plumes: 1, Spiral: 2}",0,2,1,1,0,2,2,0,Streams,0.25,,240.0998507931714,20.84899231987864
UGC10331_GROUP,"{Plumes: 1, No: 2, Disturbed: 1, Tails: 2, Streams: 2}",2,2,2,1,0,1,0,0,Streams,0.25,,244.3368993473373,59.320519141043285
UGC10500,"{Tails: 3, Streams: 3, No: 2}",2,3,3,0,0,0,0,0,Streams,0.38,,249.74721392105008,57.72409341434339
UGC11206,"{Streams: 3, Spiral: 3, No: 2}",2,3,0,0,0,0,3,0,Streams,0.38,,274.9337096312804,48.561126496491966
UGC11252,"{Curiosities: 1, Streams: 2, No: 3, Spiral: 2}",3,2,0,0,0,0,2,1,Streams,0.25,,277.1749820092389,48.24322709983954
UGC11487,"{Spiral: 2, Streams: 4, Tails: 2}",0,4,2,0,0,0,2,0,Streams,0.5,,297.3535688285381,63.509133841401145
UGC11496,"{Curiosities: 1, Streams: 3, No: 4}",4,3,0,0,0,0,0,1,Streams,0.38,,298.2587667888788,67.66527300893203
UGC11622,"{Streams: 2, No: 4, Spiral: 1, Tails: 1}",4,2,1,0,0,0,1,0,Streams,0.25,,311.1556333557354,-1.720340809255383
UGC11639,"{Shells: 2, Streams: 2, No: 1, Disturbed: 1, Plumes: 1, Tails: 1}",1,2,1,1,2,1,0,0,Streams,0.26,,312.46473941585305,6.2201012001507765
UGC11827,"{Plumes: 1, No: 3, Disturbed: 2, Streams: 2}",3,2,0,1,0,2,0,0,Streams,0.25,,327.6712849941044,22.851594892618056
UGC11908,"{Disturbed: 2, Tails: 1, No: 2, Spiral: 1, Streams: 2}",2,2,1,0,0,2,1,0,Streams,0.25,,331.64619272027596,16.055012411881155
UGC12351,"{Curiosities: 1, Streams: 3, No: 4}",4,3,0,0,0,0,0,1,Streams,0.38,,346.43963171856495,18.986112904961125
UGC12427,"{Streams: 3, No: 4, Disturbed: 1}",4,3,0,0,0,1,0,0,Streams,0.38,,348.34949541578703,28.95520941473059
UGC12479,"{No: 4, Tails: 1, Spiral: 1, Streams: 1, Plumes: 1}",4,1,1,1,0,0,1,0,Streams,0.12,,349.3570384529254,-1.5862883478598333
UGC12535_GROUP,"{Streams: 4, No: 4, Tails: 1}",4,4,1,0,0,0,0,0,Streams,0.45,,350.2565926451156,8.179500249592236
UGC12633,"{Shells: 3, Streams: 3, No: 1, Disturbed: 1}",1,3,0,0,3,1,0,0,Streams,0.38,,352.55695420787424,15.761174741125155
UGC12640,"{Curiosities: 1, Streams: 3, No: 3, Tails: 1}",3,3,1,0,0,0,0,1,Streams,0.37,,352.7372185097134,15.490216951614322
UGC12641,"{Curiosities: 1, Streams: 3, No: 3, Spiral: 1}",3,3,0,0,0,0,1,1,Streams,0.37,,352.72748251906285,20.25087363182196
UGC12685,"{No: 2, Spiral: 2, Streams: 2, Tails: 2}",2,2,2,0,0,0,2,0,Streams,0.25,,353.8079023329222,0.04163701343406041
UGC12747,"{Tails: 2, Streams: 3, No: 2, Plumes: 1}",2,3,2,1,0,0,0,0,Streams,0.38,,355.7567947337176,19.424128762357956
