#name,ra,dec,z_lens,z_source,zl_phot,zs_phot,Rein,lens_mag_i,source_mag_i,type,discovery,grade,Reference
232159-003754,350.498680,-0.631870,-99.000,-99.000,0.43,-99.00,-99.00,18.56,-99.00,GG,CNN,B,"HOLISMOKES8 SuGOHI10 HOLISMOKES6+13"
222515+004822,336.316098,0.806272,-99.000,-99.000,0.28,-99.00,-99.00,18.56,-99.00,GG,"VY CNN",B,"SuGOHI10 SuGOHI6"
095014+023230,147.561760,2.541710,-99.000,-99.000,0.33,-99.00,-99.00,18.57,-99.00,GG,CNN,A,"HOLISMOKES8 SuGOHI10 HOLISMOKES6+13"
144132-005359,220.386700,-0.899900,-99.000,-99.000,0.49,1.93,-99.00,18.57,21.83,CG,V,A,"SuGOHI5 SuGOHI6"
155826+432830,239.611064,43.475231,-99.000,-99.000,0.43,-99.00,-99.00,18.57,22.64,GG,"CNN YC",A,"HOLISMOKES8 HOLISMOKES13 SuGOHI1 SuGOHI10"
152243+423434,230.683290,42.576132,-99.000,-99.000,-99.00,-99.00,-99.00,18.57,22.96,GG,Y,C,SuGOHI2
121022-011200,182.594800,-1.200200,-99.000,-99.000,0.63,0.84,-99.00,18.57,21.25,CG,"CNN V",B,"HOLISMOKES8 SuGOHI5 SuGOHI6 HOLISMOKES6+13"
120320-013114,180.836996,-1.520585,-99.000,-99.000,0.37,-99.00,-99.00,18.57,-99.00,GG,CNN,B,"HOLISMOKES8 HOLISMOKES6+13"
163117+440649,247.821823,44.113670,0.382,-99.000,0.38,-99.00,-99.00,18.58,-99.00,GG,"CNN V",C,"SuGOHI10 SuGOHI6"
015750-003818,29.459938,-0.638486,-99.000,-99.000,-99.00,-99.00,-99.00,18.59,21.98,GG,Y,B,SuGOHI2
143744+420535,219.435460,42.093134,-99.000,-99.000,0.40,-99.00,-99.00,18.59,23.17,GG,"CNN Y",B,"HOLISMOKES6+13 SuGOHI2"
015750-063601,29.459564,-6.600540,-99.000,-99.000,0.28,-99.00,-99.00,18.59,-99.00,GG,,B,HOLISMOKES8
011015+000141,17.562752,0.028294,-99.000,-99.000,0.37,-99.00,-99.00,18.59,-99.00,GG,CNN,B,"HOLISMOKES8 HOLISMOKES6+13"
221809-003934,334.540000,-0.659500,-99.000,-99.000,0.35,1.54,-99.00,18.59,20.76,CG,V,C,"SuGOHI5 SuGOHI6"
023145-061313,37.940730,-6.220550,-99.000,-99.000,0.28,-99.00,-99.00,18.60,-99.00,GG,CNN,B,"Gavazzi2014 HOLISMOKES8 SuGOHI10"
221726+000350,334.360178,0.063981,-99.000,-99.000,0.37,-99.00,-99.00,18.60,23.91,GG,"CNN YC",B,"HOLISMOKES8 SuGOHI1 SuGOHI10"
134336-010419,205.900354,-1.071994,-99.000,-99.000,0.32,-99.00,-99.00,18.60,-99.00,GG,,B,HOLISMOKES8
220335+045535,330.899829,4.926539,-99.000,-99.000,0.37,-99.00,-99.00,18.60,-99.00,GG,,B,HOLISMOKES8
221301+001347,333.256894,0.229933,-99.000,-99.000,0.56,-99.00,-99.00,18.61,-99.00,GG,VY,C,SuGOHI6
101807-000812,154.530746,-0.136761,-99.000,-99.000,0.38,-99.00,-99.00,18.61,-99.00,GG,CNN,B,"HOLISMOKES8 DECaLS HOLISMOKES6+13"
160526+443706,241.360400,44.618400,-99.000,-99.000,0.35,1.49,-99.00,18.61,24.49,CG,"VY V",C,"SuGOHI5 SuGOHI6"
143837+005739,219.654277,0.960836,-99.000,-99.000,0.29,-99.00,-99.00,18.61,-99.00,GG,,B,HOLISMOKES8
115412+011527,178.552375,1.257700,-99.000,-99.000,0.43,-99.00,-99.00,18.62,-99.00,GG,"VY CNN",B,"HOLISMOKES8 HOLISMOKES6+13 SuGOHI6"
141558+523955,213.992561,52.665393,-99.000,-99.000,0.45,-99.00,-99.00,18.62,-99.00,GG,VY,B,SuGOHI6
124101-002920,190.256680,-0.489139,-99.000,-99.000,-99.00,-99.00,-99.00,18.62,21.62,GG,Y,C,SuGOHI2
090835+021036,137.149997,2.176715,0.468,-99.000,0.47,-99.00,-99.00,18.63,-99.00,GG,"VY CNN",C,"SuGOHI10 SuGOHI6"
090827+011606,137.114700,1.268400,-99.000,-99.000,0.30,0.47,-99.00,18.63,20.68,CG,V,C,SuGOHI5
094327-015453,145.865100,-1.914800,-99.000,-99.000,0.40,2.14,-99.00,18.63,21.26,CG,"CNN V",A,"HOLISMOKES8 SuGOHI10 SuGOHI5 HOLISMOKES6+13"
223032-003922,337.634162,-0.656140,-99.000,-99.000,0.38,-99.00,-99.00,18.64,-99.00,GG,V,B,"HOLISMOKES8 SuGOHI6"
121407+020944,183.531040,2.162314,-99.000,-99.000,-99.00,-99.00,-99.00,18.64,22.58,GG,Y,C,SuGOHI2
140315-022441,210.814619,-2.411450,-99.000,-99.000,0.47,-99.00,-99.00,18.64,-99.00,GG,VY,C,SuGOHI6
