Feature_ID,Type,Galaxy,Length_kpc,Area_kpc2,Width_kpc,SB_mag_arcsec2,Flux_pct,Total_galaxy_mag
44,Tail,NGC2782,49.2,575.1,11.6797,26.1,2.3,11.136759677380908
45,Tail,NGC2782,31.6,238.7,7.5637,25.9,1.1,11.136759677380908
46,Tail,NGC2782,36.9,335.8,9.0956,24.6,6.7,11.136759677380908
47,Tail,NGC2782,16.8,276.3,16.4782,26.3,0.8,11.136759677380908
48,Tail,NGC2798,11.1,26.8,2.4075,24.4,2.1,11.916048075614714
50,Tail,NGC2798,9.0,51.5,5.7161,24.3,4.5,11.916048075614714
49,Tail,NGC2798,10.7,64.0,5.9901,24.1,7.3,11.916048075614714
51,Stream,NGC2856,69.2,260.5,3.7658,26.2,2.3,12.601956586895863
52,Tail,NGC2856,18.3,76.3,4.1780,26.0,0.9,12.601956586895863
53,Stream,NGC2964,12.5,15.2,1.2179,26.8,0.0,10.961059163600535
54,Tail,NGC2966,25.8,79.2,3.0657,25.4,2.3,11.960085722301791
55,Tail,NGC2966,30.2,86.9,2.8723,25.6,2.0,11.960085722301791
56,Tail,NGC2968,53.9,561.3,10.4112,25.1,11.7,11.142581588627721
59,Stream,NGC3003,22.6,44.6,1.9737,26.8,0.3,11.583882834716221
58,Stream,NGC3003,11.9,15.7,1.3202,27.1,0.1,11.583882834716221
57,Stream,NGC3003,17.1,32.9,1.9227,26.4,0.3,11.583882834716221
60,Tail,NGC3079,13.5,118.4,8.7932,25.4,1.3,10.103049493524637
61,Tail,NGC3079,10.3,57.3,5.5375,23.7,3.6,10.103049493524637
62,Stream,NGC3166,48.6,187.7,3.8631,26.2,0.7,9.902387702334813
63,Tail,NGC3166,24.7,269.4,10.9037,24.9,3.8,9.902387702334813
64,Tail,NGC3169,28.8,468.7,16.2709,26.0,1.6,9.464176016865231
65,Tail,NGC3169,90.0,757.5,8.4146,25.3,5.6,9.464176016865231
67,Tail,NGC3190,29.5,219.2,7.4384,25.0,3.0,10.334995311487816
66,Tail,NGC3190,32.3,246.1,7.6227,24.9,3.5,10.334995311487816
68,Tail,NGC3198,30.7,155.4,5.0602,26.4,1.1,10.083981330457121
69,Tail,NGC3198,27.7,126.1,4.5545,26.6,0.7,10.083981330457121
70,Tail,NGC3226,15.6,40.9,2.6211,26.1,0.2,10.392787116057775
71,Tail,NGC3226,32.7,102.4,3.1337,24.9,2.2,10.392787116057775
72,Tail,NGC3226,15.8,47.6,3.0119,25.4,0.6,10.392787116057775
73,Tail,NGC3226,55.9,598.7,10.7092,26.3,2.5,10.392787116057775
78,Tail,NGC3227,19.3,85.1,4.3984,24.5,1.1,9.858446078781810
77,Tail,NGC3227,23.2,109.1,4.6992,23.5,4.2,9.858446078781810
74,Tail,NGC3227,35.5,299.7,8.4449,26.1,1.0,9.858446078781810
75,Tail,NGC3227,29.2,96.5,3.3084,24.8,1.1,9.858446078781810
76,Tail,NGC3227,11.8,38.8,3.2883,22.4,3.8,9.858446078781810
79,Stream,NGC3310,20.3,169.6,8.3510,26.3,8.6,10.488077373930992
80,Tail,NGC3310,36.7,325.2,8.8595,26.3,1.2,10.488077373930992
81,Tail,NGC3310,28.5,149.1,5.2375,25.4,2.1,10.488077373930992
82,Tail,NGC3310,34.5,118.6,3.4412,24.6,3.4,10.488077373930992
83,Tail,NGC3381,6.4,27.2,4.2866,26.8,0.2,12.261175267765708
84,Stream,NGC3381,6.9,4.9,0.7117,26.8,0.1,12.261175267765708
85,Tail,NGC3395,36.1,160.0,4.4352,27.1,0.4,11.229396129716996
86,Tail,NGC3395,25.1,115.6,4.6093,26.5,0.6,11.229396129716996
87,Stream,NGC3395,20.8,52.0,2.5007,27.2,0.1,11.229396129716996
88,Tail,NGC3396,25.5,147.7,5.8000,26.2,1.3,11.196470665481780
89,Tail,NGC3396,48.3,467.6,9.6726,26.6,2.4,11.196470665481780
90,Stream,NGC3396,26.9,85.5,3.1793,27.2,0.2,11.196470665481780
91,Stream,NGC3414,78.5,574.4,7.3160,26.9,1.2,10.385241889003535
92,Stream,NGC3414,120.6,1252.3,10.3815,27.0,2.5,10.385241889003535
93,Tail,NGC3424,17.1,61.1,3.5798,26.0,1.3,11.797935471749145
94,Tail,NGC3445,12.2,24.6,2.0184,23.1,7.5,12.459707359995061
95,Tail,NGC3448,45.7,294.9,6.4564,25.1,21.7,11.759978164401168
96,Tail,NGC3583,58.6,624.2,10.6436,26.8,1.1,11.060105029569169
97,Tail,NGC3610,7.7,28.4,3.7066,25.4,0.4,10.382773308919447
98,Stream,NGC3619,44.6,333.7,7.4812,27.7,1.1,11.029727308644969
99,Tail,NGC3619,30.1,152.4,5.0645,25.6,1.6,11.029727308644969
100,Tail,NGC3619,17.5,171.9,9.8088,26.8,0.6,11.029727308644969
102,Tail,NGC3625,12.6,31.1,2.4781,26.6,1.1,13.359882130401171
101,Tail,NGC3625,10.7,38.6,3.5963,26.6,1.2,13.359882130401171
103,Tail,NGC3626,12.2,35.7,2.9320,26.2,0.4,10.737392817980489
104,Tail,NGC3626,14.5,46.6,3.2146,25.6,0.8,10.737392817980489
105,Stream,NGC3631,106.0,812.5,7.6631,26.8,1.0,10.310355662162696
109,Tail,NGC3640,14.3,62.0,4.3365,27.0,0.1,9.889790318504318
106,Tail,NGC3640,20.0,43.9,2.1977,25.1,0.3,9.889790318504318
107,Tail,NGC3640,25.6,245.6,9.5879,25.9,0.7,9.889790318504318
108,Tail,NGC3640,11.9,51.7,4.3531,26.8,0.1,9.889790318504318
110,Tail,NGC3640,20.8,169.6,8.1512,25.9,0.5,9.889790318504318
112,Stream,NGC3641,45.3,290.1,6.4017,26.9,2.4,12.099726520237329
111,Tail,NGC3641,58.5,335.7,5.7409,26.3,7.6,12.099726520237329
113,Tail,NGC3652,9.0,20.6,2.2806,25.0,1.2,12.408397924217340
114,Tail,NGC3652,10.6,64.2,6.0330,25.4,2.4,12.408397924217340
115,Stream,NGC3665,62.2,491.6,7.8999,27.0,0.3,9.888759805271441
116,Tail,NGC3665,39.8,260.9,6.5565,26.9,0.2,9.888759805271441
117,Stream,NGC3675,16.7,66.5,3.9906,25.5,0.3,9.519986847870925
118,Stream,NGC3675,8.6,39.4,4.5985,26.8,0.0,9.519986847870925
119,Stream,NGC3675,12.4,95.2,7.7066,26.7,0.1,9.519986847870925
120,Stream,NGC3687,14.7,25.1,1.7041,24.6,1.2,12.147137024683655
121,Tail,NGC3786,31.8,166.2,5.2330,25.9,1.1,11.722979952762323
122,Tail,NGC3786,22.5,73.5,3.2646,26.0,0.5,11.722979952762323
123,Tail,NGC3786,22.0,96.8,4.3932,26.5,0.4,11.722979952762323
124,Tail,NGC3788,6.7,19.0,2.8294,24.8,0.6,12.103159533898634
125,Tail,NGC3788,32.3,197.8,6.1283,26.3,1.2,12.103159533898634
126,Tail,NGC3788,8.4,8.1,0.9631,22.1,3.1,12.103159533898634
127,Tail,NGC3813,19.2,128.7,6.6926,25.9,1.7,11.381343079729330
128,Tail,NGC3813,20.4,135.0,6.6226,25.6,2.5,11.381343079729330
130,Stream,NGC3838,34.0,98.4,2.8966,27.1,0.7,11.976078631447610
129,Stream,NGC3838,29.2,83.4,2.8602,27.3,1.6,11.976078631447610
131,Stream,NGC3945,24.2,81.3,3.3592,27.2,0.1,10.211870073743668
132,Stream,NGC3945,7.1,26.8,3.7844,27.0,0.1,10.211870073743668
133,Stream,NGC3945,35.7,191.2,5.3556,27.0,0.4,10.211870073743668
134,Stream,NGC3945,8.6,34.9,4.0706,26.7,0.1,10.211870073743668
135,Stream,NGC4013,13.6,20.7,1.5282,26.9,0.1,10.764549306391171
136,Stream,NGC4036,26.5,91.1,3.4354,27.7,0.1,10.264115787155067
137,Stream,NGC4036,20.6,52.5,2.5488,27.4,0.1,10.264115787155067
138,Stream,NGC4036,21.4,68.7,3.2088,27.6,0.1,10.264115787155067
139,Stream,NGC4111,75.0,431.6,5.7509,26.8,3.3,10.304671848860792
140,Stream,NGC4151,19.7,30.8,1.5625,26.0,0.2,9.993745534102352
141,Tail,NGC4168,59.5,866.4,14.5562,26.4,1.5,10.487521240196308
142,Tail,NGC4192,17.4,115.2,6.6030,25.7,0.8,9.694448308023421
143,Tail,NGC4193,14.1,47.7,3.3894,25.8,0.5,12.024443623861544
144,Stream,NGC4203,12.0,48.3,4.0200,25.0,,
145,Stream,NGC4207,6.7,11.2,1.6740,26.9,0.1,12.119578751818320
151,Tail,NGC4216,17.5,81.0,4.6220,27.0,0.1,9.520062769083992
152,Tail,NGC4216,17.7,57.1,3.2200,26.5,0.1,9.520062769083992
149,Stream,NGC4216,20.8,75.3,3.6168,26.9,0.1,9.520062769083992
150,Stream,NGC4216,79.8,294.9,3.6957,27.0,0.4,9.520062769083992
148,Tail,NGC4216,41.2,212.8,5.1662,26.9,0.3,9.520062769083992
147,Stream,NGC4216,22.5,85.2,3.7845,27.0,0.1,9.520062769083992
146,Tail,NGC4216,27.7,168.9,6.0859,26.7,0.3,9.520062769083992
153,Tail,NGC4224,35.2,298.4,8.4675,26.4,0.5,11.175108937073979
154,Tail,NGC4224,29.2,268.2,9.1792,26.1,0.9,11.175108937073979
155,Tail,NGC4235,22.5,212.5,9.4537,25.6,1.3,11.198030273160644
156,Tail,NGC4235,13.5,104.6,7.7410,26.0,0.5,11.198030273160644
157,Tail,NGC4235,25.1,124.9,4.9727,26.6,0.2,11.198030273160644
158,Tail,NGC4254,67.6,874.9,12.9362,26.7,0.4,9.452179345742845
159,Stream,NGC4261,67.5,535.2,7.9290,25.8,1.0,9.576851192764199
160,Tail,NGC4262,15.7,61.9,3.9543,26.1,1.3,11.188513582838816
161,Tail,NGC4262,15.6,57.0,3.6600,26.4,1.0,11.188513582838816
162,Tail,NGC4270,92.9,1056.3,11.3676,26.1,10.8,11.734033730812278
163,Tail,NGC4270,34.4,344.8,10.0121,26.0,2.9,11.734033730812278
164,Stream,NGC4281,25.4,133.9,5.2755,26.4,0.6,10.580064546342932
165,Stream,NGC4281,14.5,36.1,2.4872,26.9,0.1,10.580064546342932
167,Tail,NGC4313,17.7,97.5,5.5209,26.8,1.0,11.256273143820334
166,Tail,NGC4313,17.4,45.2,2.5949,27.2,0.3,11.256273143820334
168,Stream,NGC4314,34.2,75.4,2.2030,27.0,0.3,10.088786158511006
169,Tail,NGC4342,72.6,504.3,6.9500,26.6,9.0,11.771250093189160
170,Tail,NGC4365,95.1,2321.3,24.4080,26.0,4.4,8.878016240288122
171,Tail,NGC4365,102.8,1597.4,15.5392,26.6,1.1,8.878016240288122
172,Tail,NGC4383,12.8,39.9,3.1256,26.2,1.0,11.713515967288025
175,Tail,NGC4388,44.3,276.2,6.2372,26.2,0.7,10.630155263926419
173,Tail,NGC4388,75.9,573.3,7.5552,26.0,1.5,10.630155263926419
174,Tail,NGC4388,26.1,160.4,6.1430,25.6,0.5,10.630155263926419
178,Stream,NGC4406,23.3,79.9,3.4344,25.9,0.1,8.154315453655641
176,Tail,NGC4406,13.0,107.4,8.2905,26.7,0.1,8.154315453655641
177,Tail,NGC4406,24.1,143.4,5.9566,26.4,0.1,8.154315453655641
179,Tail,NGC4414,21.3,164.7,7.7447,26.9,0.3,9.655686007252065
180,Tail,NGC4414,24.0,144.7,6.0173,26.7,0.2,9.655686007252065
181,Tail,NGC4421,18.9,117.7,6.2204,27.0,0.6,10.651825343518695
182,Tail,NGC4424,16.8,41.6,2.4793,27.0,0.3,11.150084956839748
183,Stream,NGC4425,17.7,77.3,4.3771,26.5,1.3,11.507932852664403
184,Tail,NGC4429,28.6,299.7,10.4954,26.2,0.9,9.425317954408662
185,Tail,NGC4435,43.8,357.9,8.1740,26.7,1.0,9.978217911809178
187,Tail,NGC4438,26.0,94.2,3.6151,23.5,2.8,9.214972935449005
186,Tail,NGC4438,15.7,67.5,4.2900,23.2,2.6,9.214972935449005
188,Tail,NGC4440,15.6,42.4,2.7148,25.8,1.9,11.513439916219134
189,Tail,NGC4440,13.5,36.2,2.6868,25.7,1.9,11.513439916219134
190,Tail,NGC4452,10.2,38.4,3.7738,26.6,0.7,11.564168640755351
191,Tail,NGC4452,6.8,30.3,4.4907,26.2,0.9,11.564168640755351
192,Tail,NGC4461,12.8,66.2,5.1768,26.7,0.4,10.780088305205382
193,Stream,NGC4473,13.9,19.7,1.4219,27.2,0.0,9.639715613350603
195,Tail,NGC4474,19.6,77.5,3.9506,26.6,0.7,10.934590858156131
194,Tail,NGC4474,26.9,148.5,5.5197,26.7,1.2,10.934590858156131
196,Tail,NGC4486,33.0,228.1,6.9076,26.9,0.1,7.899768704627881
197,Stream,NGC4486,21.5,52.6,2.4467,26.8,0.0,7.899768704627881
198,Tail,NGC4488,26.5,208.5,7.8552,25.9,7.5,11.530187866038009
199,Tail,NGC4488,23.7,152.3,6.4354,25.6,8.1,11.530187866038009
200,Tail,NGC4490,8.7,13.2,1.5267,24.3,2.0,9.453597801359134
201,Tail,NGC4490,6.8,25.3,3.7024,25.8,0.7,9.453597801359134
202,Tail,NGC4492,20.7,96.9,4.6844,26.5,0.7,10.917576406669429
203,Tail,NGC4501,23.7,214.7,9.0653,26.3,0.5,9.062322270161953
205,Tail,NGC4519,8.0,13.8,1.7215,26.4,0.3,11.733015938414521
204,Tail,NGC4519,12.6,38.8,3.0852,26.1,1.2,11.733015938414521
206,Stream,NGC4526,36.8,228.7,6.2163,26.7,0.3,9.071375612040985
207,Stream,NGC4552,27.3,228.5,8.3577,25.6,1.0,9.086236085065703
208,Tail,NGC4552,55.1,767.7,13.9337,26.6,1.3,9.086236085065703
209,Tail,NGC4552,35.3,323.3,9.1524,26.7,0.5,9.086236085065703
210,Tail,NGC4567,22.5,85.5,3.8056,25.9,0.8,9.999356826695085
211,Tail,NGC4567,20.1,73.8,3.6767,26.7,0.2,9.999356826695085
212,Tail,NGC4568,26.0,107.9,4.1536,26.4,0.5,10.048122667303396
214,Tail,NGC4569,25.2,211.3,8.3823,26.7,0.3,9.272634193853555
213,Tail,NGC4569,17.4,90.0,5.1708,26.3,0.3,9.272634193853555
215,Tail,NGC4606,8.3,45.4,5.4509,26.1,1.4,11.423040895012321
216,Tail,NGC4621,33.7,310.3,9.2131,26.4,0.4,8.685313648666970
217,Stream,NGC4623,58.9,252.7,4.2895,27.8,2.0,11.909257190067891
221,Tail,NGC4631,12.4,29.2,2.3584,24.0,2.6,8.926815576339472
218,Stream,NGC4631,31.8,123.3,3.8726,26.9,0.5,8.926815576339472
219,Tail,NGC4631,10.2,58.7,5.7714,26.4,0.9,8.926815576339472
220,Stream,NGC4631,18.0,70.7,3.9399,27.4,0.2,8.926815576339472
222,Tail,NGC4634,3.9,9.0,2.3070,25.9,0.5,12.083056917387395
225,Tail,NGC4643,22.6,146.6,6.4790,27.2,0.3,9.784790601291622
224,Stream,NGC4643,14.7,92.0,6.2387,26.0,0.6,9.784790601291622
223,Stream,NGC4643,11.9,72.2,6.0842,26.1,0.5,9.784790601291622
226,Stream,NGC4651,25.4,101.5,3.9935,24.8,1.3,10.333593498890039
227,Tail,NGC4651,31.4,490.1,15.6271,26.1,1.7,10.333593498890039
228,Stream,NGC4660,47.6,128.8,2.7081,26.6,1.3,10.797123125168945
229,Stream,NGC4684,29.7,91.8,3.0864,27.1,0.8,10.830033239400890
230,Tail,NGC4694,28.6,119.3,4.1748,26.5,1.2,11.090974105610016
231,Stream,NGC4694,16.7,85.1,5.1047,26.8,0.5,11.090974105610016
232,Stream,NGC4694,31.5,75.9,2.4120,25.6,2.1,11.090974105610016
234,Tail,NGC4762,36.2,386.8,10.6830,25.4,3.4,9.780334012588536
233,Tail,NGC4762,41.8,405.1,9.6838,25.2,3.3,9.780334012588536
235,Tail,NGC5033,23.2,109.7,4.7274,26.4,0.3,9.729395515510927
241,Tail,NGC5055,24.1,183.0,7.6057,26.7,0.2,8.358788547657422
236,Tail,NGC5055,25.9,245.0,9.4710,26.7,0.3,8.358788547657422
237,Stream,NGC5055,25.8,143.2,5.5497,27.0,0.1,8.358788547657422
238,Stream,NGC5055,59.8,453.0,7.5735,26.6,0.8,8.358788547657422
239,Stream,NGC5055,24.8,102.6,4.1410,26.7,0.1,8.358788547657422
240,Tail,NGC5055,51.1,243.6,4.7706,26.3,0.7,8.358788547657422
243,Stream,NGC5089,25.9,91.3,3.5276,26.2,2.5,12.989527171688167
242,Tail,NGC5089,14.5,69.3,4.7821,26.1,1.7,12.989527171688167
244,Tail,NGC5194,22.7,71.8,3.1630,24.8,1.1,7.711926790277779
245,Stream,NGC5198,85.2,611.3,7.1777,27.4,0.6,11.244995307834031
246,Stream,NGC5273,18.6,39.2,2.1072,26.3,0.9,11.131615526338244
247,Tail,NGC5297,35.3,226.6,6.4102,25.5,2.6,11.181051161861088
248,Tail,NGC5308,17.5,165.8,9.4995,26.9,0.4,10.958510874182807
249,Tail,NGC5308,21.6,295.9,13.7168,26.8,0.7,10.958510874182807
250,Stream,NGC5308,20.8,89.8,4.3216,25.6,0.8,10.958510874182807
251,Stream,NGC5353,26.4,199.7,7.5552,26.2,,
252,Tail,NGC5353,14.6,123.4,8.4270,26.9,,
253,Tail,NGC5353,23.2,384.6,16.5929,24.7,,
254,Tail,NGC5355,53.3,531.4,9.9758,26.7,6.1,12.820868117072678
255,Stream,NGC5355,35.7,132.9,3.7232,27.8,0.1,12.820868117072678
256,Tail,NGC5371,32.1,261.0,8.1301,24.3,2.4,9.837195867684592
257,Tail,NGC5371,33.6,271.9,8.0817,25.8,0.6,9.837195867684592
258,Tail,NGC5443,19.9,127.0,6.3789,25.8,1.7,11.580823440304616
259,Tail,NGC5443,9.8,69.4,7.1024,26.2,0.6,11.580823440304616
261,Tail,NGC5480,22.9,138.2,6.0479,25.8,2.1,11.767557113485797
260,Tail,NGC5480,42.2,224.7,5.3237,26.0,2.5,11.767557113485797
262,Stream,NGC5485,57.2,299.9,5.2446,27.2,0.4,10.542430874254343
263,Tail,NGC5493,25.0,272.1,10.9031,26.6,0.7,10.997119082538948
264,Tail,NGC5493,21.5,342.7,15.9558,26.9,0.7,10.997119082538948
265,Tail,NGC5506,38.5,568.2,14.7661,26.0,6.4,11.696481711458052
266,Tail,NGC5506,14.2,71.0,5.0157,26.5,0.5,11.696481711458052
267,Tail,NGC5507,57.2,562.9,9.8442,26.8,4.3,12.019854054336818
271,Tail,NGC5557,134.7,2829.1,21.0039,27.1,2.2,10.424715621143189
270,Tail,NGC5557,25.3,326.2,12.9085,26.6,0.4,10.424715621143189
269,Tail,NGC5557,99.0,650.1,6.5655,27.3,0.4,10.424715621143189
268,Tail,NGC5557,55.1,664.5,12.0578,26.6,0.7,10.424715621143189
272,Tail,NGC5574,61.1,929.8,15.2170,26.4,20.7,11.981319373031376
273,Stream,NGC5631,27.1,126.4,4.6664,26.8,0.3,10.589275359228012
274,Tail,NGC5631,24.9,141.9,5.7054,26.2,2.0,10.589275359228012
275,Stream,NGC5638,45.7,270.1,5.9150,26.9,0.4,10.342816647508574
276,Tail,NGC5660,10.2,42.2,4.1304,25.6,0.5,11.549119541025661
277,Tail,NGC5660,16.2,69.3,4.2770,25.3,0.9,11.549119541025661
278,Stream,NGC5667,17.0,79.8,4.6860,26.6,0.9,12.626132237511698
279,Tail,NGC5678,17.0,101.6,5.9846,24.8,1.8,10.761165703344354
280,Stream,NGC5687,2.3,5.2,2.2639,27.0,0.0,11.008603029839399
281,Tail,NGC5777,10.1,26.6,2.6429,26.2,0.3,12.252525037057747
282,Stream,NGC5899,47.0,254.4,5.4113,26.6,1.4,11.356274829697874
283,Stream,NGC5899,22.5,74.0,3.2833,26.0,0.3,11.356274829697874
284,Stream,NGC5900,19.9,51.7,2.6037,25.8,0.9,12.527681906066469
285,Stream,NGC5907,59.4,331.4,5.5797,26.9,0.9,9.944788267396202
286,Stream,NGC5907,89.0,479.5,5.3854,27.1,3.3,9.944788267396202
287,Tail,NGC5907,6.5,9.6,1.4920,26.8,0.0,9.944788267396202
288,Stream,NGC6278,32.2,139.5,4.3308,27.1,0.3,11.912601244692095
289,Stream,NGC7280,16.2,28.9,1.7785,27.6,0.1,11.775474078897112
290,Tail,NGC7332,7.9,36.1,4.5751,25.4,0.4,10.242599390369762
291,Tail,NGC7465,25.3,86.7,3.4222,26.2,1.5,12.183062747542976
292,Tail,PGC01606,14.1,51.5,3.6526,25.8,1.5,12.893732609479478
293,Tail,PGC01606,13.4,68.0,5.0663,26.0,1.5,12.893732609479478
294,Stream,PGC03575,10.4,9.4,0.9096,26.1,0.6,13.364244886400357
295,Stream,UGC05408,17.1,43.0,2.5050,27.4,0.2,13.618268483810198
296,Tail,UGC08693,11.3,39.7,3.5002,26.5,0.7,13.578076211088110
297,Tail,UGC08693,15.9,34.4,2.1714,25.4,2.2,13.578076211088110
298,Tail,UGC09858,32.2,160.8,4.9872,25.1,2.5,11.731424864075514
299,Tail,UGC09858,26.4,104.0,3.9349,25.3,3.7,11.731424864075514
