ra,dec,source
35.23177,-8.59481,1301_4275
35.464695,-8.582577,1301_4275
35.051662,-8.539475,1301_4275
35.480911,-8.465271,1301_4275
35.596168,-8.425898,1301_4275
36.714825,-9.273974,1301_4275
36.049198,-9.177271,1301_4275
36.843426,-9.162097,1301_4275
36.136131,-9.097031,1301_4275
36.10828,-9.102746,1301_4275
36.086956,-8.921722,1301_4275
36.45771,-8.800187,1301_4275
36.59251,-8.789453,1301_4275
36.242054,-8.757931,1301_4275
36.239533,-8.745112,1301_4275
36.359467,-8.741807,1301_4275
36.619774,-8.724485,1301_4275
36.337116,-8.650527,1301_4275
36.430889,-8.623646,1301_4275
36.499699,-8.604684,1301_4275
36.081986,-8.438305,1301_4275
36.402958,-8.427581,1301_4275
36.299404,-8.411882,1301_4275
37.23809,-9.177957,1301_4275
37.480873,-9.135452,1301_4275
37.785503,-9.118298,1301_4275
37.384773,-9.020236,1301_4275
36.94688,-8.946523,1301_4275
37.022304,-8.925438,1301_4275
37.091084,-8.802407,1301_4275
36.945919,-8.625799,1301_4275
37.325748,-8.635001,1301_4275
37.190685,-8.570327,1301_4275
37.642868,-8.529206,1301_4275
37.189228,-8.460222,1301_4275
36.944374,-8.40008,1301_4275
38.354347,-9.190852,1301_4275
38.472805,-9.042811,1301_4275
38.289867,-9.052702,1301_4275
38.705605,-8.957496,1301_4275
38.137596,-8.934146,1301_4275
38.44527,-8.846831,1301_4275
38.619667,-8.799247,1301_4275
38.00779,-8.779521,1301_4275
38.72897,-8.71013,1301_4275
30.508089,-8.35965,1301_4275
30.542717,-8.197873,1301_4275
30.976486,-8.163961,1301_4275
30.962435,-8.090237,1301_4275
31.009247,-8.064521,1301_4275
30.2075,-8.041871,1301_4275
30.425079,-7.952306,1301_4275
30.226286,-7.910847,1301_4275
31.143105,-7.848433,1301_4275
31.02001,-7.83671,1301_4275
31.069555,-7.827113,1301_4275
30.243257,-7.700147,1301_4275
30.555906,-7.665324,1301_4275
30.72699,-7.65076,1301_4275
30.198858,-7.644201,1301_4275
30.412691,-7.63616,1301_4275
30.450819,-7.590811,1301_4275
30.435945,-7.58236,1301_4275
30.346054,-7.587179,1301_4275
31.093634,-7.585923,1301_4275
30.941503,-7.477212,1301_4275
30.89505,-7.469967,1301_4275
31.237183,-8.164458,1301_4275
31.246838,-8.137804,1301_4275
31.610189,-8.036794,1301_4275
31.933512,-8.009825,1301_4275
32.0471,-7.98327,1301_4275
32.001194,-7.86507,1301_4275
31.261265,-7.851139,1301_4275
31.933899,-7.721002,1301_4275
31.48583,-7.679638,1301_4275
32.059742,-7.678372,1301_4275
